"genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","x_a","y_a","x_b","y_b","fitness_diff","k","exp_num"
28,24,5.34042,5.34042,0,0,1,1,3.1573267,3.8752877,0.5,0.476190476190476,0.333333333333333,0.625,0.717961,0,0
28,20,5.34042,5.34042,0,0,1,1,3.1573267,2.2950107,0.5,0.476190476190476,0.333333333333333,0.5625,-0.862316,0,0
28,12,5.34042,5.34042,0,0,1,1,3.1573267,3.0393147,0.5,0.476190476190476,0.333333333333333,0.375,-0.118012,0,0
28,60,5.34042,5.34042,0,0,1,1,3.1573267,3.880289,0.5,0.476190476190476,0.666666666666667,0.9375,0.7229623,0,0
29,28,5.34042,5.34042,0,0,1,1,2.5392247,3.1573267,0.666666666666667,0.25,0.5,0.476190476190476,0.618101999999999,0,0
29,31,5.34042,5.34042,0,0,1,1,2.5392247,3.2813947,0.666666666666667,0.25,0.833333333333333,0.142857142857143,0.74217,0,0
29,25,5.34042,5.34042,0,0,1,1,2.5392247,3.2571857,0.666666666666667,0.25,0.5,0.380952380952381,0.717961,0,0
29,21,5.34042,5.34042,0,0,1,1,2.5392247,1.6769087,0.666666666666667,0.25,0.5,0.285714285714286,-0.862316000000001,0,0
29,13,5.34042,5.34042,0,0,1,1,2.5392247,2.4212127,0.666666666666667,0.25,0.5,0.142857142857143,-0.118012,0,0
29,61,5.34042,5.34042,0,0,1,1,2.5392247,3.262187,0.666666666666667,0.25,0.833333333333333,0.714285714285714,0.7229623,0,0
30,31,5.34042,5.34042,0,0,1,1,3.8994967,3.2813947,0.666666666666667,0.3125,0.833333333333333,0.142857142857143,-0.618101999999999,0,0
30,28,5.34042,5.34042,0,0,1,1,3.8994967,3.1573267,0.666666666666667,0.3125,0.5,0.476190476190476,-0.74217,0,0
30,26,5.34042,5.34042,0,0,1,1,3.8994967,4.6174577,0.666666666666667,0.3125,0.5,0.428571428571429,0.717961,0,0
30,22,5.34042,5.34042,0,0,1,1,3.8994967,3.0371807,0.666666666666667,0.3125,0.5,0.333333333333333,-0.862316,0,0
30,14,5.34042,5.34042,0,0,1,1,3.8994967,3.7814847,0.666666666666667,0.3125,0.5,0.19047619047619,-0.118012,0,0
30,62,5.34042,5.34042,0,0,1,1,3.8994967,4.622459,0.666666666666667,0.3125,0.833333333333333,0.857142857142857,0.722962299999999,0,0
31,30,5.34042,5.34042,0,0,1,1,3.2813947,3.8994967,0.833333333333333,0.142857142857143,0.666666666666667,0.3125,0.618101999999999,0,0
31,29,5.34042,5.34042,0,0,1,1,3.2813947,2.5392247,0.833333333333333,0.142857142857143,0.666666666666667,0.25,-0.74217,0,0
31,27,5.34042,5.34042,0,0,1,1,3.2813947,3.9993557,0.833333333333333,0.142857142857143,0.666666666666667,0.1875,0.717961,0,0
31,23,5.34042,5.34042,0,0,1,1,3.2813947,2.4190787,0.833333333333333,0.142857142857143,0.666666666666667,0.125,-0.862316,0,0
31,15,5.34042,5.34042,0,0,1,1,3.2813947,3.1633827,0.833333333333333,0.142857142857143,0.666666666666667,0.0625,-0.118012,0,0
31,63,5.34042,5.34042,0,0,1,1,3.2813947,4.004357,0.833333333333333,0.142857142857143,1,0.5,0.7229623,0,0
32,33,5.34042,5.34042,0,0,1,1,3.617922,2.99982,0.166666666666667,0.857142857142857,0.333333333333333,0.6875,-0.618102,0,0
